bankCode,branchCode,branchName
01,340,KAREN WATERFRONT PLATINUM
01,341,KCB NGONG BRANCH
01,325,GARDEN CITY
01,326,JKIA
01,327,MAKUTANO
01,330,KCB NEXTGEN
01,331,KCB MOGOTIO
01,329,TWO RIVERS
01,332,KCB UPPERHILL PLATINUM
01,337,KCB KILIMANI PLATINUM
01,339,KCB UTAWALA
01,302,DIASPORA
01,303,KISII WEST
01,304,MBITA
01,305,SORI
01,306,HURLINGHAM
01,307,KIBERA
01,308,THIKA ROAD MALL BRANCH
01,309,KASARANI BRANCH
01,310,KCB MAASAI MARA
01,311,KCB KABARTONJO
01,312,KCB ELDORET EAST
01,313,KIKIM
01,314,KCB JKUAT
01,315,KCB CHANGAMWE
01,316,KCB MAKONGENI
01,317,KCB SYOKIMAU
01,318,KCB MOI REFERRAL HOSPITAL
01,319,KCB KITALE ADVANTAGE
01,320,KCB LAVINGTON
01,322,KCB RIVERSIDE ADVANTAGE
01,323,KCB GIGIRI SQUARE
01,324,KAYOLE
01,214,GATUNDU
01,215,EMALI
01,216,ISIOLO
01,217,KCB FLAMINGO
01,218,NJORO
01,219,MUTOMO
01,220,MARIAKANI
01,221,MPEKETONI
01,222,MTITU ANDEI
01,223,MTWAPA
01,224,TAVETA
01,225,KENGELENI
01,226,GARSEN
01,227,WATAMU
01,228,BONDO
01,229,BUSIA
01,230,HOMA BAY
01,231,KAPSOWAR
01,232,KEHANCHA
01,233,KEROKA
01,234,KILGORIS
01,235,KIMILILI
01,236,LITEIN
01,237,LONDIANI BRANCH
01,238,LUANDA
01,239,MALABA
01,240,MUHORONI
01,241,OYUGIS
01,242,UGUNJA
01,243,UNITED MALL
01,244,SEREM
01,245,SONDU
01,246,KISUMU WEST
01,247,MARIGAT
01,248,MOIS BRIDGE
01,249,MASHARIKI
01,250,NARO MORO
01,251,KIRIAINI
01,252,EGERTON UNIVERSITY
01,253,MAUA
01,254,KAWANGARE
01,255,KIMATHI
01,256,NAMANGA
01,288,HAILE SELASSIE
01,289,SALAMA HOUSE MORTGAGE CENTRE
01,290,GARDEN PLAZA
01,291,SARIT CENTRE MORTGAGE CENTRE
01,292,CPC BULK CORPORATE CHEQUES
01,293,TRADE SERVICES
01,295,NAIROBI HIGH COURT
01,296,MOMBASA HIGH COURT
01,297,KISUMU AIRPORT
01,298,PORT VICTORIA
01,300,NYALI
01,301,WESTGATE ADVANTAGE
01,287,KISAUNI
01,257,GIKOMBA
01,258,KWALE
01,259,PRESTIGE PLAZA
01,260,KARIOBANGI
01,263,BIASHARA STREET
01,266,NGARA
01,267,KYUSO
01,270,MASII
01,271,MENENGAI CRATER
01,272,TOWN CENTRE
01,278,MAKINDU
01,283,RONGO
01,284,ISIBANIA
01,285,KISERIAN
01,286,MWEMBE TAYARI
01,342,IMARA DAIMA
01,343,TAKABA TOWN
01,163,ELDAMA RAVINE
01,164,KIBWEZI
01,166,KAPSABET
01,167,UNIVERSITY WAY
01,168,KCB ELDORET WEST
01,169,GARISSA
01,124,MUMIAS
01,125,NANYUKI
01,127,MOYALE
01,129,KIKUYU
01,130,TALA
01,131,KAJIADO
01,133,KCB CUSTODY SERVICES
01,134,MATUU
01,135,KITUI
01,136,MVITA
01,137,JOGOO RD NAIROBI
01,139,CARD CENTRE
01,140,MARSABIT
01,141,SARIT CENTRE
01,142,LOITOKITOK
01,143,NANDI HILLS
01,144,LODWAR
01,145,UN GIGIRI
01,146,HOLA
01,147,RUIRU
01,148,MWINGI
01,149,KITALE
01,150,MANDERA
01,151,KAPENGURIA
01,152,KABARNET
01,153,WAJIR
01,154,MARALAL
01,155,LIMURU
01,157,UKUNDA
01,158,ITEN
01,159,GILGIL
01,161,ONGATA RONGAI
01,162,KITENGELA
01,338,KCB LANGATA
01,344,KCB RUMURUTI BRANCH
01,091,EASTLEIGH
01,092,KCB CPC
01,094,HEAD OFFICE
01,095,WOTE
01,096,HEAD OFFICE FINANCE
01,100,MOI AVENUE NAIROBI
01,101,KIPANDE HOUSE
01,102,TREASURY SQ MOMBASA
01,103,NAKURU
01,104,KICC
01,105,KISUMU
01,106,KERICHO
01,107,TOM MBOYA
01,108,THIKA
01,109,ELDORET
01,110,KAKAMEGA
01,111,KILINDINI MOMBASA
01,112,NYERI
01,113,INDUSTRIAL AREA NAIROBI
01,114,RIVER ROAD
01,115,MURANGA
01,116,EMBU
01,117,KANGEMA
01,119,KIAMBU
01,120,KARATINA
01,121,SIAYA
01,122,NYAHURURU
01,123,MERU
01,173,LAMU
01,174,KILIFI
01,175,MILIMANI
01,176,NYAMIRA
01,177,MUKURUWEINI
01,180,VILLAGE MARKET
01,181,BOMET
01,183,MBALE
01,184,NAROK
01,185,OTHAYA
01,186,VOI
01,188,WEBUYE
01,189,SOTIK
01,190,NAIVASHA
01,191,KISII
01,192,MIGORI
01,193,GITHUNGURI
01,194,MACHAKOS
01,195,KERUGOYA
01,196,CHUKA
01,197,BUNGOMA
01,198,WUNDANYI
01,199,MALINDI
01,201,CAPITAL HILL
01,202,KAREN
01,203,LOKICHOGIO
01,204,GATEWAY MSA ROAD
01,205,BURUBURU
01,206,CHOGORIA
01,207,KANGARE
01,208,KIANYAGA
01,209,NKUBU
01,210,OL KALOU
01,211,MAKUYU
01,212,MWEA
01,213,NJAMBINI
01,333,KAKUMA BRANCH
01,334,KCB PARKLANDS
01,335,KCB DIANI
01,336,KCB ELDORET ADVANTAGE BRANCH
02,000,ELDORET
02,001,KERICHO
02,002,KISUMU
02,003,KITALE
02,004,TREASURY SQUARE
02,005,KILINDINI
02,006,KENYATTA AVENUE
02,008,MOI AVENUE
02,009,NAKURU
02,010,NANYUKI
02,011,NYERI
02,012,THIKA
02,015,WESTLANDS
02,016,MACHAKOS
02,017,MERU
02,019,HARAMBEE AVENUE
02,053,INDUSTRIAL AREA
02,054,KAKAMEGA
02,064,KOINAGE
02,071,YAYA CENTRE BRANCH
02,072,RUARAKA
02,073,LANGATA
02,074,MAKUPA
02,075,KAREN
02,076,MUTHAIGA
02,078,C.O.U
02,079,UKAY
02,080,TWO RIVERS BRANCH
02,081,KISII
02,082,UPPER HILL BRANCH
02,083,NYALI
02,084,CHIROMO
02,085,GREENSPAN
02,086,THE T-MALL
02,087,THE JUNCTION
02,089,KITENGELA
02,090,BUNGOMA
02,091,THIKA ROAD MALL
02,092,UN GIGIRI
03,140,TWO RIVERS
03,007,KERICHO BRANCH
03,008,KISII BRANCH
03,009,KISUMU BRANCH
03,010,SOUTH C BRANCH
03,011,LIMURU BRANCH
03,012,MALINDI BRANCH
03,013,MERU BRANCH
03,014,EASTLEIGH BRANCH
03,015,KITUI BRANCH
03,016,NKRUMAH ROAD BRANCH
03,017,GARISSA BRANCH
03,018,NYAMIRA BRANCH
03,019,KILIFI BRANCH
03,020,OFFICE PARK WESTLANDS
03,026,KAKAMEGA BRANCH
03,001,HEAD OFFICE - VPC
03,002,KAPSABET BRANCH
03,003,ELDORET BRANCH
03,004,EMBU BRANCH
03,005,MURANG A BRANCH
03,006,KAPENGURIA BRANCH
03,021,BARCLAYCARD OPERATIONS
03,022,PAYMANTS AND INTERNATIONAL SERVICES
03,023,GILGIL BRANCH
03,024,THIKA ROAD MALL
03,049,LAVINGTON BRANCH
03,050,TALA
03,051,HOMA BAY BRANCH
03,052,ONGATA RONGAI BRANCH
03,053,OTHAYA BRANCH
03,054,VOI BRANCH
03,055,MUTHAIGA BRANCH
03,056,BARCLAYS ADVISORY AND REG. SERVICES
03,057,GITHUNGURI BRANCH
03,058,WEBUYE BRANCH
03,059,KASARANI BRANCH
03,060,CHUKA BRANCH
03,061,NAKUMATT-WESTGATE BRANCH
03,062,KABARNET BRANCH
03,063,KERUGOYA BRANCH
03,064,TAVETA BRANCH
03,065,KAREN BRANCH
03,066,WUNDANYI BRANCH
03,067,RUARAKA BRANCH
03,068,KITENGELA BRANCH
03,069,WOTE BRANCH
03,070,ENTERPRISE ROAD BRANCH
03,071,NAKUMATT MERU BRANCH
03,072,JUJA BRANCH
03,073,WESTLANDS BRANCH
03,074,KIKUYU BRANCH
03,075,MOI AVENUE-NAIROBI BRANCH
03,076,NYALI
03,077,ABSA TOWERS BRANCH
03,034,KAWANGWARE
03,035,MBALE
03,036,PLAZA PREMIER CENTRE
03,037,RIVER ROAD BRANCH
03,038,CHOMBA HOUSE-RIVER ROAD
03,039,MUMIAS BRANCH
03,040,MACHAKOS BRANCH
03,041,NAROK BRANCH
03,042,ISIOLO BRANCH
03,043,NGONG BRANCH
03,044,MAUA BRANCH
03,045,HURLINGHAM BRANCH
03,046,MAKUPA BRANCH
03,047,DEVELOPMENT HOUSE BRANCH
03,048,BUNGOMA
03,027,NAKURU EAST
03,028,BURUBURU
03,029,BOMET
03,030,NYERI BRANCH
03,031,THIKA BRANCH
03,032,PORT MOMBASA
03,033,GIKOMBA
03,128,BAMBURI BRANCH
03,130,HARAMBEE AVE - PREMIER LIFE CENTRE
03,132,KITALE BRANCH
03,139,NYAHURURU BRANCH
03,144,TREASURY OPERATIONS
03,145,MOI AVENUE MOMBASA - PREMIER LIFE CENTRE
03,151,CASH MONITORING UNIT
03,190,NANYUKI BRANCH
03,206,KARATINA BRANCH
03,220,MOMBASA NYERERE AVE - PREMIER LIFE CENTRE
03,273,CONSUMER OPERATIONS
03,300,FINANCE DEPARTMENT
03,337,DOCUMENTS AND SECURITIES DSC
03,340,RETAIL CREDIT TEAM
03,354,CREDIT OPERATIONS
03,400,HEAD OFFICE
03,078,KIRIAINI BRANCH
03,079,BUTERE ROAD BRANCH
03,080,MIGORI BRANCH
03,081,DIGO BRANCH
03,082,HAILE SELASSIE AVENUE BRANCH
03,083,NAIROBI UNIVERSITY BRANCH
03,084,BUNYALA ROAD
03,086,NAIROBI WEST BRANCH
03,087,PARKLANDS
03,088,BUSIA
03,089,PANGANI BRANCH
03,090,ABC PREMIER LIFE CENTRE
03,093,KARIOBANGI BRANCH
03,094,QUEENSWAY HOUSE BRANCH
03,095,NAKUMATT EMBAKASI BRANCH
03,096,BARCLAYS MERCHANT FINANCE LTD.
03,097,BARCLAYS SECURITIES SERVICES (K
03,100,DIANI BRANCH
03,103,NAIROBI J.K.I.A BRANCH
03,105,VILLAGE MARKET - PREMIER LIFE CENTRE
03,106,SARIT CENTRE - PREMIER LIFE CENTRE
03,109,YAYA CENTRE- PREMIER LIFE CENTRE
03,111,NAIVASHA BRANCH
03,113,MARKET BRANCH
03,114,CHANGAMWE BRANCH
03,117,RAHIMTULLA TRUST TOWERS - PREMIER LIFE CENTRE
03,125,NAKURU WEST BRANCH
05,000,KENYATTA AVENUE , NAIROBI
05,001,NKRUMAH ROAD , MOMBASA
05,002,INDUSTRIAL AREA
05,003,WESTLANDS
05,005,ELDORET
06,017,MUTHITHI ROAD
06,000,NAIROBI MAIN
06,002,DIGO ROAD, MOMBASA
06,004,THIKA
06,005,KISUMU
06,006,SARIT CENTRE
06,007,INDUSTRIAL AREA
06,008,ELDORET
06,009,NAKURU
06,010,KAKAMEGA
06,011,NYALI MOMBASA
06,012,MERU
06,015,DIAMOND PLAZA
06,016,MOMBASA ROAD
07,209,MWEMBE TAYARI
07,208,RUIRU EASTERN BYPASS
07,206,NYERI
07,207,KARATINA
07,210,KAKAMEGA
07,033,RIVER ROAD
07,034,KAREN HUB
07,211,KERICHO
07,213,BUNGOMA
07,212,EMBU
07,216,GIKOMBA
07,214,NGONG
07,215,KIAMBU
07,217,NAIVASHA
07,035,GARDEN CITY
07,036,TWO RIVERS MALL
07,101,CITY CENTRE
07,102,NIC HOUSE
07,103,HARBOUR HOUSE
07,105,WESTLANDS
07,106,THE JUNCTION BR.
07,107,NAKURU
07,110,HARAMBEE
07,111,PRESTIGE-NGONG ROAD
07,112,KISUMU
07,113,THIKA
07,114,MERU
07,118,SAMEER PARK
07,119,KAREN
07,121,TAJ MALL
07,122,ABC
07,123,THIKA ROAD MALL
07,124,CHANGAMWE BRANCH
07,125,KENYATTA AVENUE
07,126,RIVERSIDE
07,127,MACHAKOS
07,128,LUNGA LUNGA SQUARE
07,129,KILIMANI
07,130,KITENGELA
07,146,KILIFI
07,147,WATAMU
07,148,DIANI
07,149,KITALE
07,200,NAROK BRANCH
07,201,LAVINGTON BRANCH
07,500,HEAD OFFICE
07,501,HEAD OFFICE
07,502,HEAD OFFICE
07,503,HEAD OFFICE
07,600,HEAD OFFICE
07,131,KISII
07,132,KMA CENTRE
07,133,BURU BURU
07,134,CPA CENTRE, RUARAKA
07,135,RONGAI
07,141,ROSSLYN RIVIERA
07,142,CIATA MALL
07,143,PARKLANDS
07,144,NANYUKI
07,145,MALINDI
07,005,INDUSTRIAL AREA
07,006,MAMLAKA
07,007,VILLAGE MARKET
07,008,CARGO CENTRE
07,009,PARK SIDE
07,026,ELDORET
07,027,KISUMU
07,028,THIKA
07,029,NANYUKI
07,030,YAYA CENTRE
07,031,LAVINGTON
07,032,MACHAKOS
07,016,GALLERIA MALL
07,017,JUNCTION
07,018,THIKA ROAD MALL
07,019,GREENSPAN MALL
07,020,MOI AVENUE MOMBASA
07,021,MERU
07,022,NAKURU
07,023,NYALI
07,024,DIANI
07,025,CHANGAMWE
07,219,BUSIA
07,223,KENOL TOWN
07,222,UTAWALA NAIROBI
07,221,EASTLEIGH NAIROBI
07,33,RIVER ROAD
07,218,MURANGA
07,224,KAHAWA SUKARI
07,220,CHWELE
07,226,MIGORI BRANCH
07,225,WOTE BRANCH
07,115,GALLERIA (BOMAS)
07,116,ELDORET
07,117,VILLAGE MARKET
07,000,HEAD OFFICE
07,001,UPPER HILL
07,002,WABERA STREET
07,003,MAMA NGINA
07,004,WESTLANDS BRANCH
07,104,HEAD OFFICE-FARGO
07,108,NYALI
07,109,NKRUMAH ROAD
07,204,SARIT CENTRE BRANCH
09,008,KISII CENTRE
09,000,HEAD OFFICE
09,001,HEAD OFFICE
09,002,MOMBASA
09,003,KISUMU
09,004,ELDORET
09,006,NAKURU CENTRE
10,021,TWO RIVERS
10,023,MERU
10,024,LAVINGTON BRANCH
10,022,UAP TOWERS
10,000,H/O RIVERSIDE
10,001,KENINDIA
10,002,BIASHARA
10,003,MOMBASA
10,004,WESTLANDS
10,005,INDUSTRIAL AREA
10,006,KISUMU
10,007,PARKLANDS
10,008,RIVERSIDE DRIVE
10,009,CARD CENTRE
10,010,HURLINGHAM
10,011,CAPITAL CENTRE
10,012,NYALI
10,014,KAMUKUNJI
10,015,ELDORET
10,016,KAREN
10,017,NAKURU
10,020,GARDEN CITY
10,019,THIKA
10,027,BABA DOGO
10,025,VILLAGE MARKET
10,026,KITALE
11,170,KAMULU BRANCH
11,156,RIDGEWAYS MALL
11,157,TWO RIVERS MALL
11,158,JKIA
11,154,GIKOMBA AREA 42
11,166,KAPENGURIA SUB - BRANCH
11,162,LITEIN
11,161,KILIMANI
11,159,EMALI
11,163,THIKA MAKONGENI
11,160,KANGEMA
11,155,UTAWALA
11,020,EASTLEIGH
11,021,KIAMBU
11,022,HOMA BAY
11,023,EMBU
11,024,KERICHO
11,025,BUNGOMA
11,026,MURANGA
11,027,KAYOLE
11,028,KARATINA
11,029,UKUNDA
11,030,MTWAPA
11,031,UNIVERSITY WAY
11,032,BURU BURU
11,033,ATHI RIVER
11,034,MUMIAS
11,038,ONGATA RONGAI
11,039,THIKA
11,040,NACICO
11,041,KARIOBANGI
11,042,KAWANGWARE
11,043,MAKUTANO
11,044,PARLIAMENT ROAD
11,045,KIMATHI STREET
11,046,KITALE
11,047,GITHURAI
11,048,MAUA
11,049,CITY HALL
11,050,DIGO RD
11,051,NBC
11,000,HEAD OFFICE
11,001,FINANCE AND ACCOUNTS
11,002,CO-OP HOUSE
11,003,KISUMU
11,004,NKURUMAH ROAD
11,005,MERU
11,006,NAKURU
11,007,INDUSTRIAL AREA
11,008,KISII
11,009,MACHAKOS
11,010,NYERI
11,011,UKULIMA
11,012,KERUGOYA
11,013,ELDORET
11,014,MOI AVENUE
11,015,NAIVASHA
11,017,NYAHURURU
11,018,CHUKA
11,019,WAKULIMA MARKET
11,062,ZIMMERMAN
11,063,KENYATTA AVENUE NAKURU
11,064,KITENGELA
11,065,AGA KHAN WALK
11,066,NAROK
11,067,KITUI
11,068,NANYUKI
11,069,EMBAKASI
11,070,KIBERA
11,071,SIAKAGO
11,072,KAPSABET
11,073,MBITA
11,074,KANGEMI
11,075,DANDORA
11,076,KAJIADO
11,077,TALA
11,078,GIKOMBA
11,079,RIVER ROAD
11,080,NYAMIRA
11,081,GARISA
11,082,BOMET
11,083,KEROKA
11,084,GILGIL
11,085,TOM MBOYA
11,086,LIKONI
11,087,DONHOLM
11,088,MWINGI
11,089,RUAKA
11,090,WEBUYE
11,094,SACCO CLEARING UNIT
11,097,CLEARING CENTRE
11,100,NDHIWA
11,101,OYUGIS
11,102,ISIOLO
11,103,UGANDA ROAD ELDORET
11,104,CHANGAMWE
11,105,KONDELE
11,106,GITHURAI KIMBO
11,107,MLOLONGO
11,108,KILIFI
11,109,OL KALAU
11,110,MBALE
11,111,KIMILILI
11,035,STIMA PLAZA
11,036,WESTLANDS
11,037,UPPER HILL
11,137,GATUNDU
11,138,RUIRU
11,139,NYALI MALL
11,140,YALA
11,141,MAASAI MALL - ONGATA RONGAI
11,142,THIKA ROAD MALL
11,143,KISERIAN
11,144,NANDI HILLS
11,145,LODWAR
11,147,ENGINEER
11,148,RONGO
11,149,LAVINGTON MALL
11,150,BONDO
11,151,GIGIRI MALL
11,152,UNITED MALL, KISUMU
11,153,GREEN HOUSE MALL
11,228,SHARES OPERATIONS
11,247,BACK OFFICE OPERATIONS
11,250,E- CHANNELS UNIT
11,254,DIASPORA BANKING
11,266,KILINDINI PORT
11,270,MONEY TRANSFERS AGENCY
11,052,KAKAMEGA
11,053,MIGORI
11,054,KENYATTA AVENUE
11,055,NKUBU
11,056,ENTERPRISE ROAD
11,057,BUSIA
11,058,SIAYA
11,059,VOI
11,060,MARIAKANI
11,061,MALINDI
11,128,MARSABIT
11,130,DAGORETTI
11,131,OTHAYA
11,132,LIMURU
11,133,KIKUYU
11,134,GITHUNGURI
11,135,KAREN
11,136,MPEKETONI
11,112,KISII HIGHWAY
11,113,KILGORIS
11,114,WOTE
11,116,MALABA
11,117,MOLO
11,118,MWEA
11,119,KUTUS
11,120,UMOJA
11,121,EMBAKASI JUNCTION
11,122,KONGOWEA
11,123,LANGATA ROAD
11,124,JUJA
11,125,NGONG
11,126,KAWANGWARE 46
11,127,MOMBASA ROAD
11,092,KABARNET BRANCH
11,091,ITEN
11,115,KASARANI BRANCH
11,129,KAMAKIS
11,173,CHWELE
11,093,HINDI BRANCH
11,174,THIKA KWAME NKRUMAH BRANCH
11,146,KENOL-MAKUYU BRANCH
11,169,ELDORET - KENYATTA STREET
11,171,BAMBURI BRANCH
11,165,CHOGORIA
11,164,KENYATTA AVENUE
11,167,MARALAL
11,172,GREENWOOD MALL BRANCH
12,000,CENTRAL BUSINESS UNIT
12,002,KENYATTA
12,003,HARAMBEE
12,004,HILL
12,005,BUSIA
12,006,KIAMBU
12,007,MERU
12,008,KARATINA
12,009,NAROK
12,010,KISII
12,011,MALINDI
12,012,NYERI
12,013,KITALE
12,015,EASTLEIGH
12,016,LIMURU
12,017,KITUI
12,018,MOLO
12,019,BUNGOMA
12,020,NKRUMAH
12,021,KAPSABET
12,022,AWENDO
12,023,PORTWAY-MSA
12,082,MWEA BRANCH
12,025,HOSPITAL BR.
12,026,RUIRU
12,027,ONGATA RONGAI
12,028,EMBU
12,029,KAKAMEGA
12,030,NAKURU
12,031,UKUNDA
12,032,UPPER HILL
12,033,NANDI HILLS
12,034,MIGORI
12,035,WESTLANDS
12,036,TIMES TOWER
12,037,MAUA
12,038,WILSON AIRPORT
12,039,J.K.I.A.
12,040,ELDORET
12,056,BOMET
12,058,GREENSPAN
12,059,SAMEER PARK
12,060,SEKU
12,061,NGONG ROAD
12,062,MOI AVENUE
12,063,MOUNTAIN MALL
12,065,NYALI CENTRE
12,066,KILIFI
12,067,SOUTH C BRANCH- KEBS
12,068,KERICHO
12,070,ISIOLO
12,071,SOUTH C - RED CROSS
12,072,NATIONAL BANK PREMIUM BANKING KISUMU
12,073,YAYA CENTRE
12,074,GIGIRI
12,253,NAROK AMANAH
12,254,NGONG RD AMANAH
12,255,NKURUMA AMANAH
12,256,NYALI AMANAH
12,257,NYERI AMANAH
12,258,ONGATA RONGAI AMANAH
12,259,PORTWAY HSE AMANAH
12,260,RUIRU AMANAH
12,261,SAMEER PARK AMANAH
12,262,SEKU AMANAH
12,263,SOUTH C RED CROSS AMANAH
12,264,ST. PAULS UNIVERSITY AMANAH
12,265,TECHNICAL UNIV OF MSA AMANAH
12,266,THIKA AMANAH
12,093,WAJIR
12,094,BONDENI
12,096,MANDERA
12,098,CARD CENTRE
12,099,HEAD OFFICE
12,198,CENTRAL CLEARING CENTRE
12,200,HEAD OFFICE AMANAH
12,201,CARD CENTRE AMANAH
12,202,EASTLEIGH AMANAH
12,203,KENYATTA AVE AMANAH
12,204,WAJIR AMANAH
12,205,BONDENI AMANAH
12,206,GARISSA AMANAH
12,207,MANDERA AMANAH
12,208,ISIOLO AMANAH
12,209,AWENDO AMANAH
12,210,BOMET AMANAH
12,211,BUNGOMA AMANAH
12,212,BUSIA AMANAH
12,213,CHANGAMWE AMANAH
12,214,ELDORET AMANAH
12,215,EMBU AMANAH
12,216,GIGIRI AMANAH
12,217,GREENSPAN AMANAH
12,218,HARAMBEE AVE AMANAH
12,219,HILL AMANAH
12,220,HOSPITAL AMANAH
12,221,JKIA AMANAH
12,222,KAKAMEGA AMANAH
12,223,KAPSABET AMANAH
12,224,KARATINA AMANAH
12,225,KENYATTA AVE AMANAH
12,226,KENYATTA UNIVERSITY AMANAH
12,227,KERICHO AMANAH
12,228,KIAMBU AMANAH
12,229,KIANJAI AMANAH
12,230,KILIFI AMANAH
12,231,KISII AMANAH
12,232,KISUMU AMANAH
12,267,TIMES TOWER AMANAH
12,268,TSC UPPER HILL BUILDING AMANAH
12,269,UKUNDA AMANAH
12,270,WESTLANDS AMANAH
12,271,WILSON AIRPORT NRI AMANAH
12,272,YAYA CENTRE AMANAH
12,233,KISUMU PREMIUM CENTRE AMANAH
12,234,KITALE AMANAH
12,235,KITENGELA AMANAH
12,236,KITUI AMANAH
12,237,LIMURU AMANAH
12,238,LUNGA LUNGA AMANAH
12,239,MACHAKOS AMANAH
12,240,MALINDI AMANAH
12,241,MAUA AMANAH
12,242,MERU AMANAH
12,243,MIGORI AMANAH
12,244,MOI AVE AMANAH
12,245,MOI UNIVERSITY ELDORET AMANAH
12,246,MOIS BRIDGE AMANAH
12,247,MOLO AMANAH
12,248,MOUNTAIN MALL AMANAH
12,249,MTWAPA AMANAH
12,250,MUTOMO AMANAH
12,251,NAKURU AMANAH
12,252,NANDI HILLS AMANAH
12,041,MOIS BRIDGE
12,042,MUTOMO
12,043,KIANJAI
12,044,KENYATTA UNIVERSITY
12,045,ST PAULS UNIVERSITY
12,046,MOI UNIVERSITY ELDORET
12,047,MOI INT AIRPORT MOMBASA
12,048,MACHAKOS
12,049,KITENGELA
12,050,KISUMU
12,051,MTWAPA
12,052,CHANGAMWE
12,053,GARISSA
12,054,THIKA
12,055,MOMASA POLYTECHNIC UNIVERSITY COLLEGE
12,075,NANYUKI
12,078,WOTE
12,079,LODWAR
12,081,GIKOMBA
14,011,SAMEER BUSINESS PARK
14,000,HEAD OFFICE
14,001,KOINANGE STREET
14,004,NAKURU
14,005,ELDORET
14,006,KITALE
14,007,WESTLANDS
14,010,MOMBASA
16,000,HEAD OFFICE , NAIROBI
16,400,MOMBASA
16,500,GIGIRI AGENCY
16,700,KISUMU
17,000,HEAD OFFICE
17,001,MOMBASA
17,002,INDUSTRIAL AREA
17,003,WESTLANDS
17,004,NYALI
18,000,HEAD OFFICE
18,001,NAIROBI
18,002,MOMBASA
18,003,MILIMANI
18,004,INDUSTRIAL AREA
18,005,ELDORET
19,043,UKUNDA
19,000,REINSURANCE PLAZA NAIROBI
19,001,MOMBASA
19,002,WESTLANDS
19,003,UHURU HIGHWAY
19,004,RIVER ROAD
19,005,THIKA
19,006,KISUMU
19,007,RUARAKA
19,008,MONROVIA STREET
19,009,NAKURU
19,010,NGONG ROAD
19,011,ELDORET
19,012,EMBAKASI
19,014,ONGATA RONGAI
19,015,CHANGAMWE
19,016,BUNGOMA
19,017,KISII
19,018,MERU
19,019,KITENGELA
19,020,NYALI
19,021,GALLERIA
19,022,GREENSPAN MALL
19,023,UPPER HILLL
19,024,NANYUKI
19,026,KENYATTA AVENUE
19,027,SAMEER BUSINESS PARK
19,028,MOI AVENUE, MOMBASA
19,029,ONGATA RONGAI II
19,030,GIKOMBA
19,031,GITHURAI
19,032,EMBU
19,033,GATEWAY MALL
19,034,KITALE
19,035,SOUTH B
19,036,DIGO ROAD
19,037,OUTERING ROAD
19,038,LIKONI ROAD
19,039,THIKA ROAD
19,040,NAROK
23,000,HARAMBEE AVENUE
23,001,MURANGA
23,002,EMBU
23,003,MOMBASA
23,004,KOINANGE STREET
23,005,THIKA
23,006,MERU
23,007,NYERI
23,008,LAARE
23,009,MAUA
23,010,ISIOLO
23,011,HEAD OFFICE
23,012,CORPORATE
23,013,UMOJA
23,014,RIVER ROAD
23,015,ELDORET
23,016,NAKURU
23,017,KITENGELA
23,018,TAJ MALL
25,016,NGONG ROAD BRANCH
25,017,MERU BRANCH
25,018,NKURUMA
25,500,SUMAC KOINANGE
25,019,ONE AFRICA
25,000,HEAD OFFICE
25,001,KOINANGE STREET
25,002,KISUMU
25,003,NAKURU
25,004,KISII
25,005,WESTLANDS
25,006,INDUSTRIAL AREA
